,img_url,product_name,price,city,location,rating,url,quantity_sold,shop_name
3425,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/18/1b52cbf3-e05a-45e2-88f8-522109367754.jpg,"GAGA 100 Extra Pedas Goreng Jalapeno, Chipotle, Kuah Jalapeno (GG97)",18998,Jakarta Selatan,Jakarta Selatan,4.9,Ad,250,Gaga Official Store
3426,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/27/a2317bd9-7a0a-4fd5-82e9-46cf142a5ea5.png,NONGSHIM CHAMPONG NOODLE SOUP 124GR,18000,Tangerang,Tangerang,4.9,Ad,40,JAVA SUPER FOOD
3427,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/10/17/7e6926c5-2cf1-4401-b42f-64c1dac121d4.jpg,GAGA 100 Extra Pedas Kuah Jalapeno 10 pcs (GG1),30997,Jakarta Selatan,Jakarta Selatan,4.9,Ad,500,Gaga Official Store
3428,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/23/a705a3ca-7d74-492e-9bf1-76c5ad80386b.jpg,Mr.Ishii Fettuccine Shirataki / Fettuccine Konnyaku,9000,Kab. Badung,Kab. Badung,5.0,Ad,100,KonyaKonyaBali
3429,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/18/32ab76ab-1180-413b-8cc9-f5643d3561c8.jpg,GAGA 100 Goreng Extra Pedas Jalapeno 3pcs dan Lada Hitam 2pc (GG48),16498,Jakarta Selatan,Jakarta Selatan,4.8,Ad,1000,Gaga Official Store
3430,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/26/2f364905-3178-4d93-b018-ffd1b83568f4.jpg,Mi Instan Ikan Naga Mas 18 pcs,25000,Tangerang,Tangerang,5.0,Ad,8,Setia Jaya Abadi Food
3431,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/18/1db40363-2f20-48ee-a240-367f049da104.jpg,GAGA 100 Extra Pedas Goreng Jalapeno 85g Beli 3 pcs FREE 2 pcs (GG10),16498,Jakarta Selatan,Jakarta Selatan,4.9,Ad,500,Gaga Official Store
3432,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/23/6cd9cd18-0040-4062-b5f5-7d10ad88ea88.jpg,Ashitaki - Mie Shirataki Instant Sehat Rendah Kalori Diet - Shirataki,19500,Jakarta Utara,Jakarta Utara,0,,0,Kitty939Mart
3433,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/15/8f605e5f-89d3-4395-a2e7-e7e1eed25fd9.jpg,Ashitaki Mie Goreng Rendang 76 g,22000,Kab. Kendal,Kab. Kendal,0,,0,Onlinestore Official
3434,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/26/285a9bd4-bd70-4b5d-8f18-3b55a7254315.jpg,Ori Ashitaki - Mie Shirataki Diet Sehat | Shirataki Noodle Mie Instant,26745,Sukabumi,Sukabumi,0,,0,Nalika Jaya
